left_deck,left_slide,right_deck,right_slide,exact_visible_text,exact_normalized_text,text_similarity,title_similarity,left_title,right_title,left_xml_sha256,right_xml_sha256
e2,61,delivery-variant,61,False,False,0.9924,1.0,T3｜從 dB 到資料：三種量不能混在一起,T3｜從 dB 到資料：三種量不能混在一起,c1c7a5e69432b8f11456f3ed8ce18832019e1fba710f6ccc75213ebf3abab4e3,54b351c3ba930116a10fbd66dd9ba7dfb236a9e62e34bad4abdc10cae835f369
e2,75,delivery-variant,75,False,False,0.9924,1.0,量測資格：四個條件必須對上,量測資格：四個條件必須對上,4f9a8603e4b958e045cf1258f2c729f52b4b741db0b561c224fc3fcb946a54db,03055e0229f28ded8dfd37b92d1e2a31c8c2652e40c07d244894174b251e33f2
e2,94,delivery-variant,94,False,False,0.9924,1.0,T6 解讀：貢獻值是帳務分攤，不是個人發射功率,T6 解讀：貢獻值是帳務分攤，不是個人發射功率,d8e3965812a9e81a3722a2f7d5dfcf8ebe0413b9722f7858d81376698bea5243,50bd1ae75d6c991a02da36b0624ed2e7a0dd16da52b652de4f120336d7c7d01c
e2,6,delivery-variant,6,False,False,0.9923,1.0,重疊把即將中斷的服務轉成換手機會,重疊把即將中斷的服務轉成換手機會,3d22da120e8be900d974a92cec385571bdbea3599da50334ed139f0fb65a14dd,c03c17558a9a20389beeeba202546b2e9fbff5395ac2559ff7358691d6f5e169
e2,107,delivery-variant,107,False,False,0.9923,1.0,SGP4：平均元素加目標時間，得到某一刻的位置與速度,SGP4：平均元素加目標時間，得到某一刻的位置與速度,85b55e849362dca7f09293ad9cad4423c672dfa5a399ad3757d3461bc3ce653d,3b5cd488617f54a54796255a558b80c31c6127553dff9433dbef83060962f962
e2,20,delivery-variant,20,False,False,0.9922,1.0,A／B 先鎖在同一服務窗口,A／B 先鎖在同一服務窗口,ba573f0945d6b8557953eb2e1a8060185630ac150c715484518e95c5d3ca3e07,4d2bf4639ffb47fd2720497b6a29a1328571a2e5cd5e2b52793584bc9ee63d50
e2,71,delivery-variant,71,False,False,0.9922,1.0,從可操作到可採信：先固定比較資格,從可操作到可採信：先固定比較資格,83659547a31b7441f8f40699d30a650d485a52a8d4aa38dead5a2ebaba625f91,c3499a43534a580f8c641e0f7be8ec3b0a9d6687ea0af14c16571c82204af600
e2,72,delivery-variant,72,False,False,0.9921,1.0,Run EE 的兩個累積量要一起看,Run EE 的兩個累積量要一起看,b25acb3fbfb97d2888c51549a4e52a9af2fb2525ba523f5e82f60689fd4f0db6,33005156d02b86c759de8ca9b3de804a3911d4ce7f7ae7ead9ff5020fc5ed133
e2,10,delivery-variant,10,False,False,0.992,1.0,座標鏈把 SGP4 狀態變成地面觀測者看到的量,座標鏈把 SGP4 狀態變成地面觀測者看到的量,ba51c6391e8259c98e80cdc5dd07dce9aa6bc5f2ce3ba660192f0957597eab6c,2442b36aeb66d0693a2cd7048d93dc75c16e0eb8e1b8550471fcd26f4c31440a
e2,17,delivery-variant,17,False,False,0.992,1.0,資料率提高之後，功率與能量從何而來？,資料率提高之後，功率與能量從何而來？,fee824fd9a87d57ea5c05b4292fece7f8500980c6e957de3ba67209958544c90,c79ee666a58e83e3b177b22d5432e8f8af7794bd7c8b215370bb4715ce44b25a
e2,36,delivery-variant,36,False,False,0.992,1.0,A／B 比較：用四組欄位判斷服務與節能,A／B 比較：用四組欄位判斷服務與節能,a8c2af7bf79828803e8e38764980630b9aa1097418852482a8516fade6c178c2,b2038c29d59831c097d1a8c51322430b191d8b89261e5ed4db37b4d4b5b79a30
